Countries,CostLiving,Global rank
Bermuda,225.86,1
Iceland,209.1,2
Switzerland,197.89,3
Norway,186.52,4
Denmark,171.78,5
Barbados,169.9,6
Australia,168.02,7
Israel,167.52,8
New Zealand,160.18,9
Bahamas,158.09,10
Ireland,157.19,11
Luxembourg,156.4,12
Sweden,155.01,13
Finland,151.13,14
Japan,144.44,15
UK,144.03,16
USA,143.34,17
Canada,142.12,18
Netherlands,137.57,19
Belgium,136.89,20
France,135.27,21
Austria,134.56,22
Ant.& Barb.,131.03,23
Germany,127.47,24
Italy,124.24,25
Uruguay,124.24,26
South Korea,123.53,27
Aruba,118.56,28
Hong Kong,114.81,29
Spain,113.82,30
Qatar,113.61,31
Montserrat,112.43,32
Singapore,112.16,33
UA Emirates,110.65,34
Saint Lucia,110.38,35
Cyprus,108.2,36
Portugal,106.46,37
Belize,105.86,38
Chile,105.82,39
Greece,104.66,40
Brazil,104.54,41
Slovenia,103.47,42
Malta,101.71,43
Dominica,99.61,44
Estonia,96.58,45
St. Vincent & ...,95.93,46
Grenada,95.54,47
Seychelles,94.81,48
Costa Rica,94.13,49
Slovakia,93.82,50
Argentina,93.54,51
Angola,92.68,52
Maldives,91.24,53
Latvia,89.68,54
Tr.&Tobago,89.05,55
Kuwait,88.57,56
China,87.94,57
Djibouti,84.48,58
Czechia,83.97,59
Peru,83.26,60
Croatia,82.76,61
Ecuador,82.35,62
Lithuania,79.09,63
Oman,78.88,64
Jamaica,78.85,65
Gabon,78.6,66
Taiwan,78.15,67
Guyana,78.11,68
Bahrain,77.81,69
Hungary,77.19,70
C.A. Republic,75.56,71
Eq. Guinea,74.93,72
Mauritius,74.87,73
Mexico,74.69,74
Namibia,74.28,75
El Salvador,73.82,76
Domin. Rep.,73.55,77
Panama,72.83,78
Brunei,72.31,79
S.T.&Principe,70.92,80
R. of Congo,70.42,81
South Africa,70.41,82
Comoros,70.11,83
Poland,70.08,84
Haiti,70.01,85
Cape Verde,69.79,86
Zimbabwe,69.53,87
Botswana,69.39,88
Colombia,68.94,89
Fiji,68.38,90
Montenegro,67.81,91
Jordan,66.64,92
Saudi Arabia,65.89,93
Honduras,65.87,94
Swaziland,65.77,95
Paraguay,65.46,96
Bosnia & Herz.,64.74,97
Turkey,64.7,98
Serbia,64.05,99
Romania,63.98,100
Zambia,63.6,101
Morocco,63.47,102
Iraq,63.39,103
Russia,61.96,104
DR Congo,61.73,105
Liberia,61.04,106
Bulgaria,60.89,107
Ivory Coast,60.86,108
Albania,60.79,109
Togo,60.73,110
Niger,60.37,111
Iran,60.16,112
Senegal,58.75,113
Chad,58.53,114
Cameroon,58.34,115
North Macedonia,58.3,116
Kenya,57.71,117
Ghana,57.69,118
Malaysia,57.56,119
G.-Bissau,57.18,120
Lesotho,56.38,121
Thailand,56.12,122
Suriname,55.71,123
Philippines,55.15,124
Kazakhstan,55.08,125
Nicaragua,54.99,126
Indonesia,54.52,127
Burundi,54.25,128
Benin,54.05,129
Bolivia,53.79,130
Laos,53.79,131
Georgia,52.82,132
Cambodia,52.69,133
Bangladesh,52.6,134
Nigeria,52.55,135
Sri Lanka,52.19,136
Mongolia,51.32,137
Ethiopia,51.03,138
Rwanda,50.63,139
Mali,50.55,140
Guinea,50.48,141
Vietnam,50.03,142
Mauritania,49.9,143
Armenia,49.68,144
Mozambique,49.57,145
Moldova,49.48,146
Algeria,49.36,147
Burkina Faso,49.19,148
Tanzania,48.53,149
Uganda,48.47,150
Malawi,47.49,151
Gambia,46.48,152
Belarus,45.75,153
Pakistan,45.2,154
Bhutan,45.07,155
Madagascar,44.3,156
Tunisia,43.98,157
Tajikistan,43.51,158
India,42.86,159
Nepal,41.85,160
Sierra Leone,41.32,161
Burma,41.08,162
Azerbaijan,40.56,163
Kyrgyzstan,40.38,164
Sudan,38.29,165
Ukraine,37.76,166
Egypt,27.37,167
